City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,mezen,65.8522,44.24,-6.86,94,100,4.55,RU,1675060306
115,hobyo,5.3505,48.5268,26.39,62,19,9.9,SO,1675060307
116,camana,-16.6228,-72.7111,22.85,83,100,2.03,PE,1675060307
117,khatanga,71.9667,102.5,-42.32,100,57,0.68,RU,1675060308
118,najran,17.4924,44.1277,15.36,41,0,1.65,SA,1675060257
119,hofn,64.2539,-15.2082,-3.27,72,100,4.09,IS,1675060308
120,kirakira,-10.4544,161.9205,25.89,87,100,2.53,SB,1675060309
121,dobryatino,55.5055,41.3195,-7.29,93,72,4.12,RU,1675060309
122,akyab,20.15,92.9,27.19,47,1,3.67,MM,1675060310
123,pyu,18.4833,96.4333,34.72,27,10,1.83,MM,1675060310
124,warwick,41.7001,-71.4162,7.83,79,100,3.6,US,1675059800
125,yerbogachen,61.2767,108.0108,-14.57,94,100,2.48,RU,1675060311
126,islamkot,24.6997,70.177,24.83,8,0,3.42,PK,1675060311
127,thunder bay,48.4001,-89.3168,-24.01,64,0,1.54,CA,1675060220
128,camabatela,-8.1881,15.375,18.48,93,100,0.44,AO,1675060312
129,menongue,-14.6585,17.691,17.69,92,99,0.66,AO,1675060312
130,kamenka,51.3223,42.7678,-3.23,95,100,3.24,RU,1675060313
131,wuwei,37.9281,102.6414,5.42,16,91,1.44,CN,1675060313
132,ust-nera,64.5667,143.2,-25.06,98,100,1.85,RU,1675060314
133,iquitos,-3.7481,-73.2472,24.02,88,75,2.57,PE,1675060314
134,las vegas,36.175,-115.1372,10.69,57,75,4.12,US,1675060201
135,bereda,43.2686,-7.5406,-2.7,100,35,0.98,ES,1675060315
136,acopiara,-6.0953,-39.4525,20.2,86,0,0.2,BR,1675060131
137,san policarpo,12.1791,125.5072,26.08,82,100,4.46,PH,1675060315
138,kapaa,22.0752,-159.319,22.18,73,75,9.26,US,1675060316
139,lovozero,68.005,35.0117,-7.65,95,100,2.18,RU,1675060316
140,dovers,12.8833,-61.1833,24.79,70,2,6.34,VC,1675060316
141,caravelas,-17.7125,-39.2481,23.23,86,98,1.84,BR,1675060317
142,fortuna,40.5982,-124.1573,2.77,87,0,0.0,US,1675060223
143,narsaq,60.9167,-46.05,-10.88,71,100,3.09,GL,1675060317
144,jarocin,51.9727,17.5026,-0.26,95,100,9.12,PL,1675060318
145,homer,59.6425,-151.5483,5.02,79,100,2.68,US,1675060100
146,mala,-12.6581,-76.6308,21.88,87,100,2.05,PE,1675060318
147,blackwater,-23.5833,148.8833,33.36,33,26,4.46,AU,1675060319
148,price,39.5994,-110.8107,-3.27,86,100,0.0,US,1675060320
149,atuona,-9.8,-139.0333,26.06,78,10,8.38,PF,1675060320
150,torbay,47.6666,-52.7314,-3.01,79,100,2.06,CA,1675060320
151,tabou,4.423,-7.3528,24.84,87,100,2.02,CI,1675060321
152,portland,45.5234,-122.6762,-0.59,46,0,4.02,US,1675059487
153,kendallville,41.4414,-85.265,-1.76,89,100,1.54,US,1675060323
154,bambous virieux,-20.3428,57.7575,30.14,74,20,1.54,MU,1675060324
155,sumbe,-11.2061,13.8437,27.04,76,99,1.92,AO,1675060325
156,alta floresta,-9.8756,-56.0861,20.68,98,99,0.23,BR,1675060325
157,booue,-0.0921,11.9385,23.12,96,100,0.53,GA,1675060326
158,ust-koksa,50.2696,85.6108,-8.38,81,27,0.37,RU,1675060327
159,lasa,46.6166,10.7002,-0.51,49,56,3.06,IT,1675060327
160,hasaki,35.7333,140.8333,10.22,38,2,5.59,JP,1675060328
161,ahipara,-35.1667,173.1667,18.12,92,100,5.97,NZ,1675060328
162,lazaro cardenas,17.9583,-102.2,22.13,88,0,2.11,MX,1675060330
163,longyearbyen,78.2186,15.6401,-6.09,58,75,5.66,SJ,1675060331
164,yerofey pavlovich,53.9667,121.9667,-15.62,85,18,1.63,RU,1675060331
165,cape town,-33.9258,18.4232,21.73,55,0,4.92,ZA,1675060332
166,asau,46.4333,26.4,-10.49,87,18,2.61,RO,1675060334
167,deputatskiy,69.3,139.9,-32.21,93,100,1.04,RU,1675060336
168,nemuro,43.3236,145.575,-4.58,55,9,2.49,JP,1675060337
169,mazamari,-11.3258,-74.5308,20.72,99,100,0.83,PE,1675060337
170,tambovka,50.0969,128.0489,-21.67,95,92,0.95,RU,1675060338
171,port lincoln,-34.7333,135.8667,19.48,60,0,6.42,AU,1675060220
172,upernavik,72.7868,-56.1549,-18.17,63,97,1.48,GL,1675060340
173,oktyabrskoye,43.0645,44.7417,-1.92,86,75,1.0,RU,1675060340
174,olden,61.8364,6.8064,3.41,98,100,5.1,NO,1675060341
175,vestmanna,62.1564,-7.1664,0.51,69,100,11.32,FO,1675060341
176,rawson,-43.3002,-65.1023,29.89,23,0,12.02,AR,1675060342
177,intipuca,13.1969,-88.0544,23.27,64,96,1.21,SV,1675060343
178,saskylakh,71.9167,114.0833,-42.33,99,60,2.14,RU,1675060343
179,jinchang,38.4953,102.1739,3.87,17,32,1.51,CN,1675060344
180,port hawkesbury,45.6169,-61.3485,4.95,98,100,4.47,CA,1675060344
181,wallaceburg,42.593,-82.3885,-3.34,86,99,1.44,CA,1675060236
182,chadan,51.2833,91.5833,-14.78,85,95,0.38,RU,1675060345
183,sacele,45.6174,25.6943,-4.43,11,99,0.68,RO,1675060345
184,dalbandin,28.8947,64.4101,10.7,38,0,2.63,PK,1675060346
185,ko samui,9.5357,99.9357,27.95,65,75,6.17,TH,1675060347
186,la asuncion,11.0333,-63.8628,22.54,81,0,4.32,VE,1675060347
187,chernyanka,50.9409,37.8069,-4.62,78,29,2.42,RU,1675060348
188,summerside,46.3959,-63.7876,5.71,100,100,8.23,CA,1675060350
189,marsta,59.6216,17.8548,3.99,71,0,8.75,SE,1675060351
190,clyde river,70.4692,-68.5914,-27.66,90,88,6.03,CA,1675060351
191,tsabong,-26.0217,22.401,29.06,37,1,9.13,BW,1675060352
192,aklavik,68.2191,-135.0107,-20.0,77,75,2.06,CA,1675060352
193,trani,41.2727,16.4154,6.59,72,99,5.36,IT,1675060281
194,constitucion,-35.3333,-72.4167,14.15,89,35,2.56,CL,1675060353
195,tuktoyaktuk,69.4541,-133.0374,-31.0,76,75,1.54,CA,1675060353
196,ndjole,-0.1783,10.7649,25.18,91,97,1.11,GA,1675060354
197,flinders,-34.5833,150.8552,22.88,89,100,1.79,AU,1675060354
198,coquimbo,-29.9533,-71.3436,14.85,94,0,0.0,CL,1675059797
199,oranjestad,12.524,-70.027,25.35,74,5,8.53,AW,1675059766
200,mount gambier,-37.8333,140.7667,19.32,50,100,4.56,AU,1675060355
201,manta,-0.95,-80.7333,25.88,78,75,1.54,EC,1675060219
202,beyneu,45.3167,55.2,1.19,59,6,6.03,KZ,1675060355
203,varadero,23.1536,-81.2514,20.42,75,5,5.97,CU,1675060356
204,geraldton,-28.7667,114.6,34.23,38,7,9.77,AU,1675060356
205,samana,19.2056,-69.3369,22.52,87,19,4.05,DO,1675060357
206,dong xoai,11.5333,106.9167,32.55,35,100,2.18,VN,1675060357
207,alofi,-19.0595,-169.9187,26.94,83,37,1.03,NU,1675060357
208,severo-kurilsk,50.6789,156.125,-4.83,84,100,16.5,RU,1675060345
209,namatanai,-3.6667,152.4333,29.04,68,97,4.09,PG,1675060358
210,poum,-20.2333,164.0167,26.28,74,3,7.37,NC,1675060359
211,harrogate,53.9908,-1.5373,6.08,80,20,8.75,GB,1675060359
212,marawi,7.9986,124.2928,23.85,86,100,1.46,PH,1675060359
213,gizo,-8.103,156.8419,25.31,92,100,5.41,SB,1675060360
214,santa leopoldina,-20.1006,-40.5297,23.79,97,100,1.42,BR,1675060360
215,copiapo,-27.3667,-70.3333,13.83,80,2,1.14,CL,1675060361
216,padang,-0.9492,100.3543,30.03,64,98,3.38,ID,1675060214
217,freeport,40.6576,-73.5832,7.77,78,0,4.12,US,1675060361
218,kokino,52.4964,34.7808,-3.83,82,100,5.59,RU,1675060362
219,plouzane,48.3833,-4.6167,9.03,93,100,3.09,FR,1675060362
220,yar-sale,66.8333,70.8333,-17.1,96,100,6.37,RU,1675060362
221,acarau,-2.8856,-40.12,24.58,87,13,3.59,BR,1675060363
222,vysokogornyy,50.1167,139.15,-22.64,95,99,2.2,RU,1675060364
223,conway,35.0887,-92.4421,6.89,97,100,4.12,US,1675060215
224,pisco,-13.7,-76.2167,23.03,78,0,3.6,PE,1675060364
225,katsuura,35.1333,140.3,9.99,46,5,9.38,JP,1675060365
226,kingman,35.1894,-114.053,8.71,64,100,4.12,US,1675060195
227,rio grande,-32.035,-52.0986,21.92,85,0,2.8,BR,1675060365
228,vila franca do campo,37.7167,-25.4333,12.23,77,57,3.79,PT,1675060366
229,faranah,10.0404,-10.7434,19.94,22,98,1.94,GN,1675060366
230,ballina,-28.8667,153.5667,25.56,89,100,4.76,AU,1675060366
231,kedougou,12.5579,-12.1743,20.26,17,15,1.32,SN,1675060367
232,kawhia,-38.0651,174.8183,21.39,80,100,3.89,NZ,1675060367
233,harnosand,62.6323,17.9379,3.0,80,100,8.21,SE,1675060368
234,mizan teferi,6.9833,35.5833,20.46,56,96,1.43,ET,1675060368
235,westport,41.1415,-73.3579,7.14,77,0,2.57,US,1675060352
236,fort nelson,58.8053,-122.7002,-17.23,85,75,0.0,CA,1675060369
237,ilulissat,69.2167,-51.1,-8.99,53,40,5.14,GL,1675060369
238,roald,62.5833,6.1333,5.5,87,75,9.26,NO,1675060370
